SP500 Compound,SP500 Negative,SP500 Neutral,SP500 Positive,SP500 Text,Cramer Compound,Cramer Negative,Cramer Neutral,Cramer Positive,Cramer Text,Trump Compound,Trump Negative,Trump Neutral,Trump Positive,Trump Text,Dimon Compound,Dimon Negative,Dimon Neutral,Dimon Positive,Dimon Text,Blankfein Compound,Blankfein Negative,Blankfein Neutral,Blankfein Positive,Blankfein Text,Solomon Compound,Solomon Negative,Solomon Neutral,Solomon Positive,Solomon Text,Corbat Compound,Corbat Negative,Corbat Neutral,Corbat Positive,Corbat Text,Lead economists Compound,Lead economists Negative,Lead economists Neutral,Lead economists Positive,Lead economists Text,Powell Compound,Powell Negative,Powell Neutral,Powell Positive,Powell Text,FED Compound,FED Negative,FED Neutral,FED Positive,FED Text,Fink Compound,Fink Negative,Fink Neutral,Fink Positive,Fink Text
0.0,0.0,1.0,0.0,"stocks in asia were set to trade higher at the open on tuesday ahead of the release of chinese trade data for march.
futures pointed to a higher open for japanese stocks. the nikkei futures contract in chicago was at 19,280 while its counterpart in osaka was… [+1319 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.25,0.0,0.953,0.047,"this article is part of a series tracking the effects of the covid-19 pandemic on major businesses, and will be updated. it was originally published on april 13.amazon.com inc. would seem to have every conceivable business advantage during a pandemic that wil… [+6931 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2081,0.056,0.851,0.093,"stock prices have rebounded on the news that the covid-19 pandemic is improving in new york and other parts of the u.s., and on the news that the fed unveiled another $2.3 trillion bazooka of liquidity. despite these positives, several important factors, incl… [+11391 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.7184,0.14,0.86,0.0,"cnbc's jim cramer has struck a ""hopeful"" new tune in his wall street outlook.
the ""mad money"" host on monday showed a shift in his thinking about the trajectory of stocks, lightening up on his belief that the market will retest its march lows.
""i figured a … [+2945 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,1.0,0.0,"san diego, april 13, 2020 /prnewswire/ -- realty income corporation (realty income,nyse: o), the monthly dividend company®, today announced that its board of directors has declared the 598th consecutive common stock monthly dividend. the dividend amount of $0… [+1030 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,1.0,0.0,"san diego, april 13, 2020 /prnewswire/ -- realty income corporation (realty income, nyse: o), the monthly dividend company®, today announced that its board of directors has declared the 598th consecutive common stock monthly dividend. the dividend amount of $… [+1267 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.6908,0.191,0.71,0.099,"australian dollar, aud/usd, crude oil, wall street, earnings asia pacific market open
australian dollar gains, crude oil prices struggle as wall street eyes earnings season
the australian dollar gained on monday and may continue to rise during tuesdays asia… [+2940 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6486,0.0,0.88,0.12,zoom videos zm popularity has exploded as more businesses and people use its video conferencing platform to connect during the coronavirus-induced push for social distancing. zm shares have soared nearly 100% in 2020 as investors clamor for stay-at-home stock… [+5214 chars],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.4215,0.103,0.85,0.047,"stocks fell on wall street monday, erasing some of the market’s big gains from last week, as investors braced for a sobering first look at how the coronavirus pandemic has hurt company earnings.
a man with a protective mask stands in the rain in front of an … [+6025 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.4404,0.092,0.877,0.031,"u.s. stocks were mixed monday as investors tread carefully on uncertain news on the coronavirus pandemic. 
the dow jones industrial average was down 329 points, or 1%. the s&amp;p 500 was also 1% lower while the nasdaq composite index was up a fraction of a … [+1020 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.09,0.039,0.916,0.046,"what happened
retailers (and retailers of clothing and footwear in particular) took it on the chin in monday trading that saw stocks initially fall, then gain back some losses, but ultimately end in the red, with the s&amp;p 500 down almost precisely 1%.
by… [+1669 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8271,0.177,0.823,0.0,"new york: exxon mobil corp on monday (apr 13) raised us$9.5 billion in new debt, with the largest us oil producer seeking to bolster its finances while debt markets remain open to new deals.
exxon paid a lower price to borrow than it did in a similar debt de… [+2188 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.7351,0.146,0.854,0.0,"by joshua franklin
new york (reuters) - exxon mobil corp &lt;xom.n&gt; on monday raised $9.5 billion in new debt, with the largest u.s. oil producer seeking to bolster its finances while debt markets remain open to new deals.
exxon paid a lower price to bor… [+2244 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.7351,0.141,0.859,0.0,"new york (reuters) - exxon mobil corp (xom.n) on monday raised $9.5 billion in new debt, with the largest u.s. oil producer seeking to bolster its finances while debt markets remain open to new deals. 
exxon paid a lower price to borrow than it did in a simi… [+2202 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.7351,0.141,0.859,0.0,"new york (reuters) - exxon mobil corp (xom.n) on monday raised $9.5 billion in new debt, with the largest u.s. oil producer seeking to bolster its finances while debt markets remain open to new deals. 
exxon paid a lower price to borrow than it did in a simi… [+2202 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3597,0.056,0.944,0.0,"(bloomberg) -- asian stocks looked set for a mixed start to tuesday ahead of one of the most uncertain earnings seasons on record as the coronavirus pandemic rattles the global economy. u.s. equities retreated.
futures in japan pointed to a modest rise, whil… [+2231 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3597,0.056,0.944,0.0,"(bloomberg) -- asian stocks looked set for a mixed start to tuesday ahead of one of the most uncertain earnings seasons on record as the coronavirus pandemic rattles the global economy. u.s. equities retreated.
futures in japan pointed to a modest rise, whil… [+2231 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.5106,0.068,0.932,0.0,"stock futures were little changed monday evening as investors braced for what is expected to be an ugly earnings season, as the coronavirus pandemic swept the country at the end of the first quarter.
during the regular session monday, the s&amp;p 500 and dow… [+3484 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.6486,0.144,0.798,0.058,"stock futures were little changed in overnight trading on monday as investors brace for an ugly earnings season with the coronavirus wrecking havoc on global corporate profits. 
futures on the dow jones industrial average rose just 20 points. the s&amp;p 500… [+1894 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,1.0,0.0,"new york, april 13, 2020 /prnewswire/ -- s&amp;p smallcap 600 constituent lhc group inc. (nasd: lhcg) will replace cypress semiconductor corp. (nasd: cy) in the s&amp;p midcap 400, and yeti holdings inc. (nyse: yeti) will replace lhc group in the s&amp;p smal… [+2662 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,1.0,0.0,"new york, april 13, 2020 /prnewswire/ -- s&amp;p smallcap 600 constituent lhc group inc. (nasd: lhcg) will replace cypress semiconductor corp. (nasd: cy) in the s&amp;p midcap 400, and yeti holdings inc. (nyse: yeti) will replace lhc group in the s&amp;p smal… [+2804 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.128,0.15,0.71,0.14,"bank of america is warning on caterpillar shares.
analysts on monday said the machinery maker could see a sharp decline in profits on a ""severe capital spending downturn.""
quint tatro, president of joule financial, agrees with the warning.
""there's a lot o… [+1930 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7783,0.0,0.843,0.157,"financial, industrial, and health care stocks took some of the heaviest selling. amazon and a few other retailers were bright spots. traders continued to watch for more signs that the coronavirus outbreak may be leveling off and what that could mean for the p… [+3452 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.7784,0.206,0.794,0.0,"a fight over business interruption insurance policies that arent covering coronavirus-related claims has drawn a high-profile participant, with president donald trump weighing in.the insurance industry cant be comfortable with a populist president talking abo… [+3088 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4767,0.0,0.911,0.089,"updated 
april 14, 2020 07:45:26
wall street has ended its first day back from easter with mixed results as the number of covid-19 infections and deaths continue to rise in the united states.
america's big banks will unveil their first-quarter results this… [+1478 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,1.0,0.0,"monday was a turbulent day for the stock market, as participants anticipated the opening of earnings season with mixed feelings. financial stocks weighed on the overall market, and with major banks to be among the first to release their earnings this week, ma… [+3574 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,1.0,0.0,"new york: wall street stocks mostly fell on monday (apr 13) ahead of major earnings and economic reports that will shed new light on the hit from coronavirus shutdowns on business conditions and jobs.
the dow jones industrial average dropped 328.60 points (1… [+1834 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.128,0.062,0.848,0.091,"banks and industrial companies led a slide in stocks on wall street monday that erased some of the market's gains after a big rally last week.
the selling came as investors brace for what is sure to be widespread damage to company earnings because of the cor… [+797 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3818,0.061,0.939,0.0,"bitcoin slid monday to its lowest point in the past seven days, with traders saying bearish signals are appearing after the cryptocurrencys 30 percent rebound from a market bottom in mid-march.
after recovering from the depths of the coronavirus-induced sell… [+2573 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,1.0,0.0,"breaking news: in a message headlined economic impact of covid-19, president lawrence s. bacowjoined by provost alan m. garber and executive vice president katie lappjust notified the community that we need to take some actions immediately to align our spendi… [+31511 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,1.0,0.0,"nordstrom inc. can withstand a year of store closures, according to cowen analysts, who think other department-store retailers, including macys inc., have far less time should stores remain shuttered.nordstrom
 jwn, 
 -4.12%
announced last week that it wou… [+3712 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.2144,0.06,0.94,0.0,"us dollar forecast: us dollar to rise if s&amp;p 500 earnings due this week rekindle safe-haven demand as economic cost of covid-19 mounts
<ul><li>us dollar edges lower to start the trading week but the dxy index is flat on balance due to a notable decline i… [+4525 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,1.0,0.0,"roku inc. added more new users than expected as covid-19 swept across the globe in the first quarter of 2020, and said the increases accelerated as americans began sheltering-in-place in march. the streaming-television company announced tuesday afternoon that… [+1957 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6597,0.041,0.814,0.145,"04-13-2020, mon - tesla shares are on a tear even as u.s. stock indexes slide.stock in the electric-vehicle pioneer rose almost 14% monday, far better than the 1.4% drop of the dow jones industrial average and the 1% decline in the s&amp;p 500.
the gains hav… [+99 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8059,0.0,0.864,0.136,"on thursday the s&amp;p/asx 200 index (asx: xjo) closed the week with a very strong gain. the benchmark index stormed 3.5% higher to 5,387.3 points.
will there be more of the same on tuesday? here are a few things to watch:
asx 200 expected to open flat.
t… [+2942 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1531,0.125,0.739,0.136,"u.s. stocks closed mostly lower following an epic week of gains. and oil prices turned lower in afternoon trading, giving up nearly 5% gains made after president donald trump indicated cuts to global production might be twice as big as investors expect. tech … [+2524 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,-0.7184,0.14,0.86,0.0,"cnbc's jim cramer has struck a ""hopeful"" new tune in his wall street outlook.
the ""mad money"" host on monday showed a shift in his thinking about the trajectory of stocks, lightening up on his belief that the market will retest its march lows.
""i figured a … [+2945 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,-0.7184,0.146,0.854,0.0,"neel kashkari, the head of the federal reserve bank of minneapolis, painted a rather gloomy picture in a cbs interview on sunday morning of what lies ahead for the u.s. economy as the country continues to battle the coronavirus outbreak. see full story.our ca… [+1115 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0.6369,0.079,0.752,0.17,"this past week the s&amp;p 500 went up 301 points, or 12 percent, its best performance in 46 years.
during the same week, the reported number of americans killed by covid-19 went up 11,499, or 161 percent, the coronavirus’s best performance ever.
so this se… [+4543 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0.0,0.0,1.0,0.0,"the dow jones industrial average rose more than 550 points thursday midday after the federal reserve unveiled plans for $2.3 trillion in coronavirus lending programs. meanwhile, oil prices surged more than 10% after a reuters report that russia and saudi arab… [+6911 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,-0.3612,0.075,0.883,0.042,"the united states could open for business sooner than initially projected, but investors should not expect business to instantly return to normal, cnbc's jim cramer said wednesday.
stocks rallied after dr. anthony fauci, a key health leader in the fight agai… [+3837 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0.0,0.0,1.0,0.0,<ul><li>barclays has downgraded its year-end price target for the s&amp;p 500 index by a whopping 16%.</li><li>the bank isnt discounting the possibility of an l-shaped recovery as opposed to the v-shaped rebound many economists are forecasting.</li><li>dr. an… [+4148 chars],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0.0,0.0,1.0,0.0,<ul><li>the dow jones pounded more than 700 points higher on wednesday.</li><li>dow bulls flooded into the market after fomc minutes depicted a deeply dovish fed.</li><li>the reopening of wuhan the apparent origin of the coronavirus outbreak may have investor… [+4882 chars],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,-0.4404,0.125,0.811,0.064,"cnbc's jim cramer on tuesday broke down a trusted technical analyst's findings in the chart action of the s&amp;p 500 and volatility indexes to gauge the market's next movements.
the ""mad money"" host took a pointer from volatility expert mark sebastian, foun… [+2855 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,-0.5423,0.107,0.854,0.039,"cnbc's jim cramer on tuesday suggested investors take advantage of the recent market upside to sell some stock and build up some cash for the next dip.
""without a v-shaped recovery, you have to be skeptical of these big moves higher,"" the ""mad money"" host sa… [+3186 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0.2732,0.061,0.819,0.12,"stocks gave up gains late tuesday, reversing a massive rally that had the dow soaring more than 900 points at its intraday highs.
a number of experts say that this week's rally still doesn't mean stocks are in the clear.
""mad money"" host jim cramer, for ins… [+1793 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0.4576,0.0,0.936,0.064,"as my regular readers may have noticed, i have been on a writing sabbatical for fourteen months, as i was fully engaged in a corporate consulting role. that consulting role has recently ended, so i have climbed back on the writing horse, so to speak. in my ab… [+10296 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0.4576,0.0,0.936,0.064,"as my regular readers may have noticed, i have been on a writing sabbatical for fourteen months, as i was fully engaged in a corporate consulting role. that consulting role has recently ended, so i have climbed back on the writing horse, so to speak. in my ab… [+10296 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0.7943,0.039,0.786,0.175,"cnbc's jim cramer said tuesday he believes that wall street's recent optimism over an apparent slowdown in coronavirus cases is not shared by many americans on main street.
""there is a happy days are here again wall street impression versus what i hear ... p… [+2311 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,-0.3818,0.053,0.947,0.0,"to state the obvious, the coronavirus (""covid-19"") has pushed us to a nation and state of emergency and our country is in a lock-down mode with strict stay at home orders. the news and statistics show that this isn't ending anytime soon and more than likely c… [+6736 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0.2023,0.0,0.962,0.038,"this does not mean that the all clear is immediate, nor does it mean that the us economy will quickly recover. but the light at the end of the tunnel is starting to emerge, dan clifton, a partner at strategas research partners, a financial and economic consul… [+5268 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0.4019,0.024,0.898,0.078,"cnbc's jim cramer watched stocks rally hard monday on welcome data about coronavirus progress, but he is not sold on the idea that wall street has fully turned the corner.
after the new virus infections count in the u.s. dipped on sunday, the three major sto… [+2355 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0.7906,0.041,0.787,0.172,"happy monday and welcome back to on the money. im sylvan lane, and heres your nightly guide to everything affecting your bills, bank account and bottom line.
see something i missed? let me know at slane@thehill.com or tweet me @sylvanlane. and if you like yo… [+6869 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,-0.4854,0.087,0.87,0.043,"stocks soared monday as investors grew hopeful that the coronavirus outbreak was showing signs of a plateau.
but, with the dow soaring more than 1,000 points on monday and the s&amp;p 500 rallying about 5%, what's next for the market? 
cnbc ""mad money"" host… [+1823 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,-0.7713,0.157,0.843,0.0,<ul><li>a former fda commissioner warned that coronavirus is far more devastating than the public seems to believe.</li><li>the economic impact of the disease will be lasting and could push the u.s. economy into a lasting depression.</li><li>the stock market … [+3822 chars],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,-0.9468,0.313,0.687,0.0,"gold miners' stocks have endured epic volatility in this past month, literally crashing before blasting back higher in a violent v-bounce. that preceding wicked capitulation flush savagely forced the weak hands out, paving the way for gold stocks' next major … [+18788 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,-0.8388,0.23,0.675,0.095,"cnbc's jim cramer on friday delivered a dire message about the financial future.
""i've got to be honest with you: we could be on the verge of a depression. not a recession, a depression if things don't go right,"" the ""mad money"" host said.
cramer gave the g… [+3513 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,-0.6133,0.166,0.77,0.064,"cnbc's jim cramer on thursday suggested that wall street investors could be ""grasping at straws"" after stocks rallied, despite both welcome and unwelcome information.
""this market's so desperate for good news that buyers are willing to grasp even the thinnes… [+1864 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,-0.5719,0.15,0.771,0.079,"the market rollercoaster is back, if somewhat less stomach-churning, with us equity rebounding from yesterday's plunge which - now that the pension fund frontrunning trade is over - was the worst start to a new quarter since the great depression.
q2 is off t… [+23295 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,-0.0516,0.058,0.888,0.054,"one day after the macy's ticker was booted from the s&amp;p 500, the head of a major apparel supplier signaled he has faith in the troubled department chain.
mann chirico, ceo of pvh, on wednesday told cnbc's jim cramer that he thinks macy's will be able to … [+2135 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0.6249,0.06,0.804,0.136,"cnbc's jim cramer on wednesday separated the wheat from the chaff in the market and opined on the best- and worst-performing stocks through the first quarter of 2020.
""you can learn a lot about a market by looking at its winners and losers,"" the ""mad money"" … [+2589 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,-0.2263,0.138,0.741,0.12,"the white house's prediction of the potential coronavirus death toll was a ""rude awakening"" for a lot of investors, triggering a sell-off on wall street after signs of hope the week prior, cnbc's jim cramer said.
days after signing a massive economic relief … [+1855 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,-0.6124,0.106,0.894,0.0,"stock markets returned to red to begin the second quarter. 
the stock market fell on wednesday as coronavirus fears stretched on. the dow jones industrial average and the s&amp;p 500 were both nearly 4% lower by mid-afternoon.  
here's what four market expe… [+4620 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,-0.1531,0.077,0.879,0.044,"analysts have warned that falling oil prices will lead to a wave of consolidation or bankruptcies in the u.s. energy sector, and the street got its first taste of what could be to come when u.s. shale producer whiting petroleumfiled for bankruptcy on wednesda… [+3149 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0.7184,0.0,0.875,0.125,"chef boyardee sales are up, and the growth momentum may continue forward, given the impact of the coronavirus pandemic, conagra brands ceo sean connolly told cnbc's jim cramer tuesday.
the classic line of canned pasta products saw a 4.5% gain in dollar sales… [+2282 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0.1027,0.113,0.768,0.12,"cnbc's jim cramer on tuesday laid out his playbook for the next three-month period and broke down his predictions of what could be the best performing parts of the market next quarter.
""just like the first quarter, i'm betting the second quarter will be bad … [+3051 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0.0,0.0,1.0,0.0,"noelle acheson is a veteran of company analysis and coindesks director of research. the opinions expressed in this article are the authors ownand are not investment advice.
the following article originally appeared in institutional crypto by coindesk, a week… [+9737 chars]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
