Date,SPY Close,Daily Returns,Cumulative Returns,VIX Close,SPX 1M 25DP Vol BVOL INDEX,SPX 1M 25DC Vol BVOL INDEX,SPX 1M 100 Vol BVOL INDEX,P/C Ratio,P/C Spread,P/ATM Ratio,P/ATM Spread,ATM/C Ratio,ATM/C Spread
2014-01-23,158.9693603515625,-0.008193231711264404,-0.0007107486878966673,13.770000457763672,17.2273,11.9675,13.8306,1.44,5.26,1.25,3.4,1.16,1.86
2014-01-24,155.57757568359375,-0.02133609055523522,-0.022031674644764965,18.139999389648438,18.9978,13.3188,15.4556,1.43,5.68,1.23,3.54,1.16,2.14
2014-01-27,154.81227111816406,-0.0049191187230358535,-0.026842416944555914,17.420000076293945,22.0993,15.4544,18.1189,1.43,6.64,1.22,3.98,1.17,2.66
2014-01-28,155.734130859375,0.005954694253579529,-0.021047561076908305,15.800000190734863,19.2269,13.6536,15.8068,1.41,5.57,1.22,3.42,1.16,2.15
2014-01-29,154.23829650878906,-0.009605051521664465,-0.03045044969002364,17.350000381469727,20.1824,14.3544,16.6223,1.41,5.83,1.21,3.56,1.16,2.27
2014-01-30,155.87327575683594,0.010600345601935013,-0.02017288937853723,17.290000915527344,17.6639,12.9134,14.7655,1.37,4.75,1.2,2.9,1.14,1.85
2014-01-31,154.96011352539062,-0.005858363000401989,-0.025913072270192794,18.40999984741211,15.1407,11.2315,12.6533,1.35,3.91,1.2,2.49,1.13,1.42
2014-02-03,151.47268676757812,-0.02250531881057949,-0.04783520912797001,21.440000534057617,15.293,11.2941,12.7257,1.35,4.0,1.2,2.57,1.13,1.43
2014-02-04,152.5337371826172,0.0070048959827797574,-0.04116539380944617,19.110000610351562,14.0753,10.5157,11.7056,1.34,3.56,1.2,2.37,1.11,1.19
2014-02-05,152.34237670898438,-0.001254545238104976,-0.04236829519877283,19.950000762939453,13.9959,10.5412,11.7576,1.33,3.45,1.19,2.24,1.12,1.22
2014-02-06,154.35134887695312,0.01318721823413882,-0.02973979691962869,17.229999542236328,13.6643,10.2047,11.3821,1.34,3.46,1.2,2.28,1.12,1.18
2014-02-07,156.26461791992188,0.012395544690017468,-0.01771289321140057,15.289999961853027,12.8678,9.7476,10.8082,1.32,3.12,1.19,2.06,1.11,1.06
2014-02-10,156.5516357421875,0.0018367422266549749,-0.01590868500366316,15.260000228881836,13.579,10.2054,11.3068,1.33,3.37,1.2,2.27,1.11,1.1
2014-02-11,158.26495361328125,0.010944107118211699,-0.005138684238241487,14.510000228881836,15.3844,11.0059,12.5115,1.4,4.38,1.23,2.87,1.14,1.51
2014-02-12,158.34320068359375,0.0004944055428954819,-0.004646819289316539,14.300000190734863,14.4042,10.3677,11.7213,1.39,4.04,1.23,2.68,1.13,1.35
2014-02-13,159.1607208251953,0.005162963348424032,0.0004921527014301041,14.140000343322754,14.2352,9.8483,11.3741,1.45,4.39,1.25,2.86,1.15,1.53
2014-02-14,160.03907775878906,0.005518679037389118,0.00601354777161589,13.569999694824219,13.6004,10.2248,11.359000000000002,1.33,3.38,1.2,2.24,1.11,1.13
2014-02-18,160.23040771484375,0.001195520236270342,0.007216257325938891,13.869999885559082,13.998,10.3327,11.6193,1.35,3.67,1.2,2.38,1.12,1.29
2014-02-19,159.16940307617188,-0.006621743361972299,0.0005467297599202059,15.5,14.0397,10.5122,11.8749,1.34,3.53,1.18,2.16,1.13,1.36
2014-02-20,160.108642578125,0.005900879715579732,0.0064508356620500695,14.789999961853027,13.7092,10.0806,11.4025,1.36,3.63,1.2,2.31,1.13,1.32
2014-02-21,159.92601013183594,-0.0011406782503945445,0.00530279908371889,14.680000305175781,13.8671,10.0156,11.4576,1.38,3.85,1.21,2.41,1.14,1.44
2014-02-24,160.81307983398438,0.005546750659365385,0.010878963047398438,14.229999542236328,16.3454,11.3909,13.3182,1.43,4.95,1.23,3.03,1.17,1.93
2014-02-25,160.75218200683594,-0.0003786870272698417,0.01049615629795242,13.670000076293945,14.3889,10.321,11.7843,1.39,4.07,1.22,2.6,1.14,1.46
2014-02-26,160.76089477539062,5.420000180356155e-05,0.010550925191446181,14.350000381469727,14.2584,10.2874,11.7082,1.39,3.97,1.22,2.55,1.14,1.42
2014-02-27,161.60450744628906,0.005247623634324183,0.015853916110168953,14.039999961853027,14.1855,10.3155,11.7589,1.38,3.87,1.21,2.43,1.14,1.44
2014-02-28,162.0132293701172,0.0025291492810866067,0.01842316231178809,14.0,14.319,10.5344,11.9743,1.36,3.78,1.2,2.34,1.14,1.44
2014-03-03,160.87396240234375,-0.007031937899162566,0.011261673879342737,16.0,14.3947,10.3187,11.8847,1.4,4.08,1.21,2.51,1.15,1.57
2014-03-04,163.1351776123047,0.01405581845684667,0.025475784379757727,14.100000381469727,14.9396,10.6114,12.252,1.41,4.33,1.22,2.69,1.15,1.64
2014-03-05,163.28298950195312,0.0009060699955205642,0.026404937219117075,13.890000343322754,14.7857,10.3743,12.0833,1.43,4.41,1.22,2.7,1.16,1.71
2014-03-06,163.6569366455078,0.0022901782034694396,0.028755587434269758,14.210000038146973,16.9639,11.7104,13.8208,1.45,5.25,1.23,3.14,1.18,2.11
2014-03-07,163.7265167236328,0.00042515813598376084,0.0291929712422061,14.109999656677246,17.9583,12.6566,15.0338,1.42,5.3,1.19,2.92,1.19,2.38
2014-03-10,163.63958740234375,-0.0005309422262723684,0.02864652923479083,14.199999809265137,16.323,11.237,13.1643,1.45,5.09,1.24,3.16,1.17,1.93
2014-03-11,162.83074951171875,-0.004942800843394268,0.02356213430253451,14.800000190734863,15.1276,10.5915,12.2552,1.43,4.54,1.23,2.87,1.16,1.66
2014-03-12,162.874267578125,0.0002672595104840081,0.023835691017498162,14.470000267028809,15.3779,10.8095,12.4466,1.42,4.57,1.24,2.93,1.15,1.64
2014-03-13,161.04791259765625,-0.011213281309723877,0.012355133399183371,16.219999313354492,14.5443,10.1073,11.6408,1.44,4.44,1.25,2.9,1.15,1.53
2014-03-14,160.59567260742188,-0.0028081083631564807,0.009512330482600806,17.81999969482422,14.7322,10.3131,11.9172,1.43,4.42,1.24,2.82,1.16,1.6
2014-03-17,162.04803466796875,0.009043593995818222,0.018641950133257756,15.640000343322754,15.3315,10.6929,12.4703,1.43,4.64,1.23,2.86,1.17,1.78
2014-03-18,163.20468139648438,0.007137678225382693,0.025912688600185252,14.520000457763672,14.3026,10.0832,11.7744,1.42,4.22,1.21,2.53,1.17,1.69
2014-03-19,162.33505249023438,-0.0053284556472822375,0.02044615834099517,15.119999885559082,15.38,10.9067,12.6698,1.41,4.47,1.21,2.71,1.16,1.76
2014-03-20,163.28298950195312,0.00583938587000965,0.026404937219117297,14.520000457763672,15.0492,10.7594,12.5018,1.4,4.29,1.2,2.55,1.16,1.74
2014-03-21,162.64967346191406,-0.003878640646957865,0.02242388130938089,15.0,15.0446,10.4903,12.2952,1.43,4.55,1.22,2.75,1.17,1.8
2014-03-24,161.97705078125,-0.004135407507114164,0.018195741915161268,15.09000015258789,14.2453,10.1782,11.7676,1.4,4.07,1.21,2.48,1.16,1.59
2014-03-25,162.74575805664062,0.004745778934009293,0.023027873817840216,14.020000457763672,13.3877,9.6399,11.099,1.39,3.75,1.21,2.29,1.15,1.46
2014-03-26,161.57530212402344,-0.007191928973103168,0.015670330011837486,14.930000305175781,13.2935,9.8197,11.1568,1.35,3.47,1.19,2.14,1.14,1.34
2014-03-27,161.234619140625,-0.002108509029040473,0.013528779950479075,14.619999885559082,13.7256,10.1282,11.5163,1.36,3.6,1.19,2.21,1.14,1.39
2014-03-28,162.02947998046875,0.004929839783046175,0.01852531445114125,14.40999984741211,14.6497,10.5856,12.3344,1.38,4.06,1.19,2.32,1.17,1.75
2014-03-31,163.3572235107422,0.008194456529968974,0.026871575865084152,13.880000114440918,16.4785,11.5901,13.6068,1.42,4.89,1.21,2.87,1.17,2.02
2014-04-01,164.44041442871094,0.006630811265579073,0.03368056747863335,13.100000381469727,15.6478,11.0738,12.9667,1.41,4.57,1.21,2.68,1.17,1.89
2014-04-02,164.99072265625,0.003346550964681727,0.03713983217890182,13.09000015258789,14.2136,10.1116,11.725999999999999,1.41,4.1,1.21,2.49,1.16,1.61
2014-04-03,164.77239990234375,-0.0013232426065622471,0.03576744456399994,13.369999885559082,16.9595,11.9823,14.0399,1.42,4.98,1.21,2.92,1.17,2.06
2014-04-04,162.82435607910156,-0.011822634278536581,0.023521944869305367,13.960000038146973,18.4314,12.9592,15.2447,1.42,5.47,1.21,3.19,1.18,2.29
2014-04-07,161.02491760253906,-0.011051408523232942,0.012210585724060863,15.569999694824219,17.1275,12.206,14.2335,1.4,4.92,1.2,2.89,1.17,2.03
2014-04-08,161.68881225585938,0.004122931178633049,0.016383860307285003,14.890000343322754,16.2717,11.4956,13.5147,1.42,4.78,1.2,2.76,1.18,2.02
2014-04-09,163.42709350585938,0.010750782479924004,0.027310782105554043,13.819999694824219,14.7303,10.3601,12.0967,1.42,4.37,1.22,2.63,1.17,1.74
2014-04-10,159.99417114257812,-0.021005833791923667,0.005731262563993589,15.890000343322754,13.8624,9.845,11.3683,1.41,4.02,1.22,2.49,1.15,1.52
2014-04-11,158.5528106689453,-0.00900883115515716,-0.003329200567908419,17.030000686645508,13.8878,9.9018,11.4261,1.4,3.99,1.22,2.46,1.15,1.52
2014-04-14,159.802001953125,0.007878707913844263,0.004523277547074711,16.110000610351562,13.5484,9.9053,11.3173,1.37,3.64,1.2,2.23,1.14,1.41
2014-04-15,160.9026336669922,0.006887471373419052,0.011441902865113374,15.609999656677246,13.8199,9.934,11.4796,1.39,3.89,1.2,2.34,1.16,1.55
2014-04-16,162.5885467529297,0.010477846431194537,0.022039635797409307,14.180000305175781,13.8209,10.012,11.4859,1.38,3.81,1.2,2.34,1.15,1.47
2014-04-17,162.81565856933594,0.0013968500299801345,0.023467271893313768,13.359999656677246,14.4534,10.5245,12.16,1.37,3.93,1.19,2.29,1.16,1.64
2014-04-21,163.38340759277344,0.003487066467846578,0.02703617029807126,13.25,14.1859,10.1341,11.7157,1.4,4.05,1.21,2.47,1.16,1.58
2014-04-22,164.1259002685547,0.00454448029160881,0.03170351593276033,13.1899995803833,13.8591,9.8115,11.3631,1.41,4.05,1.22,2.5,1.16,1.55
2014-04-23,163.74156188964844,-0.002341728991447245,0.029287545898922573,13.270000457763672,13.4446,9.5047,10.9887,1.41,3.94,1.22,2.46,1.16,1.48
2014-04-24,164.07351684570312,0.002027310306703889,0.0313742311492855,13.319999694824219,13.3568,9.4439,10.8812,1.41,3.91,1.23,2.48,1.15,1.44
2014-04-25,162.72833251953125,-0.008198668206989779,0.02291833603085336,14.0600004196167,12.8655,9.1637,10.555,1.4,3.7,1.22,2.31,1.15,1.39
2014-04-28,163.24366760253906,0.0031668430139291104,0.026157757817132588,13.970000267028809,13.1087,9.4137,10.7495,1.39,3.7,1.22,2.36,1.14,1.34
2014-04-29,164.00363159179688,0.004655396441521686,0.030934928991314337,13.710000038146973,14.1538,10.1486,11.6692,1.39,4.01,1.21,2.48,1.15,1.52
2014-04-30,164.49281311035156,0.0029827480879951462,0.03400994817961056,13.40999984741211,13.8588,9.9427,11.4158,1.39,3.92,1.21,2.44,1.15,1.47
2014-05-01,164.51025390625,0.000106027707646561,0.0341195818840998,13.25,13.7059,9.9914,11.38,1.37,3.71,1.2,2.33,1.14,1.39
2014-05-02,164.27439880371094,-0.0014336802535935833,0.03263698505969814,12.90999984741211,12.9581,9.363999999999999,10.7748,1.38,3.59,1.2,2.18,1.15,1.41
2014-05-05,164.58888244628906,0.0019143801156373819,0.03461384477056817,13.289999961853027,12.4995,9.2409,10.4081,1.35,3.26,1.2,2.09,1.13,1.17
2014-05-06,163.15631103515625,-0.008703937895685687,0.02560863011966852,13.800000190734863,12.5077,9.2466,10.4479,1.35,3.26,1.2,2.06,1.13,1.2
2014-05-07,164.1171875,0.005889300013878662,0.031648747039266345,13.399999618530273,12.6162,9.2913,10.5317,1.36,3.32,1.2,2.08,1.13,1.24
2014-05-08,163.94247436523438,-0.0010645633003284471,0.03055049164433843,13.430000305175781,13.7377,9.9066,11.3856,1.39,3.83,1.21,2.35,1.15,1.48
2014-05-09,164.1870880126953,0.0014920699983824726,0.03208814511473923,12.920000076293945,12.9255,9.1244,10.5766,1.42,3.8,1.22,2.35,1.16,1.45
2014-05-12,165.78562927246094,0.009736096054289156,0.042136654432069376,12.229999542236328,12.7375,9.062000000000001,10.4412,1.41,3.68,1.22,2.3,1.15,1.38
2014-05-13,165.93414306640625,0.0008958182599845266,0.04307021947650891,12.130000114440918,13.3101,9.4744,11.0095,1.4,3.84,1.21,2.3,1.16,1.54
2014-05-14,165.14796447753906,-0.00473789525373669,0.03812826203433706,12.170000076293945,12.4551,8.8026,10.2169,1.41,3.65,1.22,2.24,1.16,1.41
2014-05-15,163.6979217529297,-0.008780263984462189,0.029013221843944725,13.170000076293945,12.6662,8.9683,10.4122,1.41,3.7,1.22,2.25,1.16,1.44
2014-05-16,164.2656707763672,0.003468272641203196,0.03258212024870244,12.4399995803833,11.517000000000001,8.343,9.5972,1.38,3.17,1.2,1.92,1.15,1.25
2014-05-19,164.86842346191406,0.003669377068854951,0.03637105340245261,12.420000076293945,11.8988,8.7708,9.8806,1.36,3.13,1.2,2.02,1.13,1.11
2014-05-20,163.8289337158203,-0.006304965646340865,0.02983676951388814,12.960000038146973,11.9883,8.8142,10.0098,1.36,3.17,1.2,1.98,1.14,1.2
2014-05-21,165.20907592773438,0.008424288558870119,0.03851241162880781,11.90999984741211,11.6047,8.6565,9.721,1.34,2.95,1.19,1.88,1.12,1.06
2014-05-22,165.61090087890625,0.0024322208021285707,0.041038303119640185,12.029999732971191,11.1944,8.5209,9.4411,1.31,2.67,1.19,1.75,1.11,0.92
2014-05-23,166.2747802734375,0.004008669664907316,0.045211481785362384,11.359999656677246,11.7396,8.7042,9.7898,1.35,3.04,1.2,1.95,1.12,1.09
2014-05-27,167.2968292236328,0.006146746659442703,0.051636131969437615,11.510000228881836,12.0176,8.9119,10.0574,1.35,3.11,1.19,1.96,1.13,1.15
2014-05-28,167.17453002929688,-0.0007310311552435333,0.050867353192988185,11.680000305175781,12.186,9.1143,10.2782,1.34,3.07,1.19,1.91,1.13,1.16
2014-05-29,168.03929138183594,0.005172805644421574,0.056303285769123246,11.569999694824219,11.8712,8.9585,10.0093,1.33,2.91,1.19,1.86,1.12,1.05
2014-05-30,168.31007385253906,0.0016114235455078063,0.05800543775500877,11.399999618530273,10.7664,8.2013,9.1119,1.31,2.57,1.18,1.65,1.11,0.91
2014-06-02,168.5022430419922,0.0011417569076792589,0.05921342277192787,11.579999923706055,10.9286,8.2877,9.2244,1.32,2.64,1.18,1.7,1.11,0.94
2014-06-03,168.41488647460938,-0.0005184297004345861,0.058664295074464023,11.869999885559082,10.7723,8.0325,9.0561,1.34,2.74,1.19,1.72,1.13,1.02
2014-06-04,168.75558471679688,0.002022969877065295,0.06080594105332415,12.079999923706055,11.2729,8.2813,9.3655,1.36,2.99,1.2,1.91,1.13,1.08
2014-06-05,169.856201171875,0.00652195574401393,0.06772447045386087,11.680000305175781,12.4228,8.8598,10.2181,1.4,3.56,1.22,2.2,1.15,1.36
2014-06-06,170.6685791015625,0.004782739305852379,0.07283111824652089,10.729999542236328,11.9609,8.5407,9.8556,1.4,3.42,1.21,2.11,1.15,1.31
2014-06-09,170.8433380126953,0.0010239665206845938,0.07392966139395396,11.149999618530273,12.9048,8.9723,10.4242,1.44,3.93,1.24,2.48,1.16,1.45
2014-06-10,170.86082458496094,0.00010235442873596234,0.07403958285094858,10.989999771118164,12.3805,8.6171,10.0,1.44,3.76,1.24,2.38,1.16,1.38
2014-06-11,170.26675415039062,-0.003476925948434184,0.07030522675568873,11.600000381469727,10.5712,7.5941,8.6449,1.39,2.98,1.22,1.93,1.14,1.05
2014-06-12,169.0613250732422,-0.007079650300279572,0.06272784003569698,12.5600004196167,10.2689,7.2116,8.2848,1.42,3.06,1.24,1.98,1.15,1.07
2014-06-13,169.5767059326172,0.0030484846794600617,0.06596754957448159,12.180000305175781,10.2857,7.1326,8.1749,1.44,3.15,1.26,2.11,1.15,1.04
2014-06-16,169.71646118164062,0.0008241417844203625,0.0668460579729222,12.649999618530273,10.5802,7.3938,8.4506,1.43,3.19,1.25,2.13,1.14,1.06
2014-06-17,170.1881866455078,0.0027794915153358524,0.06981134753922746,12.0600004196167,12.1162,8.2502,9.6215,1.47,3.87,1.26,2.49,1.17,1.37
2014-06-18,171.43731689453125,0.007339700091083978,0.07766344198420372,10.609999656677246,11.4668,7.8673,9.1425,1.46,3.6,1.25,2.32,1.16,1.28
2014-06-19,171.62950134277344,0.0011210187590628973,0.07887152291862431,10.619999885559082,11.5148,7.7918,9.2005,1.48,3.72,1.25,2.31,1.18,1.41
2014-06-20,171.97792053222656,0.0020300658495608914,0.08106170315336514,10.850000381469727,11.0241,7.7435,8.9511,1.42,3.28,1.23,2.07,1.16,1.21
2014-06-23,171.92527770996094,-0.0003061022141837011,0.08073078777236065,10.979999542236328,11.6384,7.8427,9.2022,1.48,3.8,1.26,2.44,1.17,1.36
2014-06-24,170.88954162597656,-0.006024338583484279,0.07422009958922415,12.130000114440918,10.9622,7.6098,8.755,1.44,3.35,1.25,2.21,1.15,1.15
2014-06-25,171.66195678710938,0.004519967423304294,0.07907553944482615,11.59000015258789,10.4017,7.4141,8.4382,1.4,2.99,1.23,1.96,1.14,1.02
2014-06-26,171.5391082763672,-0.0007156420271646757,0.07830330763831395,11.630000114440918,9.91,7.0737,7.9937,1.4,2.84,1.24,1.92,1.13,0.92
2014-06-27,171.87261962890625,0.0019442292541345108,0.08039977647385443,11.260000228881836,11.1014,7.8064,8.9792,1.42,3.3,1.24,2.12,1.15,1.17
2014-06-30,171.78480529785156,-0.0005109268203643547,0.07984777125133835,11.569999694824219,12.3377,8.3831,9.9094,1.47,3.95,1.25,2.43,1.18,1.53
2014-07-01,172.9346466064453,0.006693498337062342,0.08707573051248962,11.149999618530273,11.7456,7.8614,9.3147,1.49,3.88,1.26,2.43,1.18,1.45
2014-07-02,173.11016845703125,0.0010149605878884138,0.08817906953500976,10.819999694824219,12.7982,8.5657,10.165,1.49,4.23,1.26,2.63,1.19,1.6
2014-07-03,173.96153259277344,0.004918048103878414,0.09353078654461666,10.319999694824219,12.1954,7.9963,9.5977,1.53,4.2,1.27,2.6,1.2,1.6
2014-07-07,173.35589599609375,-0.0034814397623031956,0.0897237249830376,11.329999923706055,11.7529,7.8439,9.2503,1.5,3.91,1.27,2.5,1.18,1.41
2014-07-08,172.2412109375,-0.006430038345040634,0.0827167596458962,11.979999542236328,12.2117,8.1004,9.621,1.51,4.11,1.27,2.59,1.19,1.52
2014-07-09,173.01361083984375,0.004484408221119729,0.08757210358399647,11.649999618530273,11.5123,7.6249,9.0062,1.51,3.89,1.28,2.51,1.18,1.38
2014-07-10,172.32899475097656,-0.003957007113740474,0.08326857303340884,12.59000015258789,15.3989,9.8028,11.9371,1.57,5.6,1.29,3.46,1.22,2.13
2014-07-11,172.56602478027344,0.001375450658430477,0.08475855550544464,12.079999923706055,12.2096,7.7687,9.3659,1.57,4.44,1.3,2.84,1.21,1.6
2014-07-14,173.43490600585938,0.00503506542896992,0.09022038580704939,11.819999694824219,12.8742,8.3348,10.0199,1.54,4.54,1.28,2.85,1.2,1.69
2014-07-15,173.11016845703125,-0.001872388646015466,0.08817906953500976,11.960000038146973,12.2563,8.1859,9.5627,1.5,4.07,1.28,2.69,1.17,1.38
2014-07-16,173.75088500976562,0.003701206916065125,0.0922066454330901,11.0,11.9959,8.1526,9.5422,1.47,3.84,1.26,2.45,1.17,1.39
2014-07-17,171.77601623535156,-0.011366093325527848,0.079792522770336,14.539999961853027,12.0031,8.1733,9.5678,1.47,3.83,1.25,2.44,1.17,1.39
2014-07-18,173.53143310546875,0.01021921982235341,0.09082715992305967,12.0600004196167,12.7289,8.4948,10.0608,1.5,4.23,1.27,2.67,1.18,1.57
2014-07-21,173.2067413330078,-0.0018710833343005273,0.0887861314035252,12.8100004196167,12.783,8.5772,10.0906,1.49,4.21,1.27,2.69,1.18,1.51
2014-07-22,173.96153259277344,0.004357747590865824,0.0935307865446171,12.239999771118164,13.466,9.0919,10.72,1.48,4.37,1.26,2.75,1.18,1.63
2014-07-23,174.34768676757812,0.0022197676063744343,0.09595817076116209,11.520000457763672,13.49,9.205,10.7774,1.47,4.29,1.25,2.71,1.17,1.57
2014-07-24,174.3565216064453,5.0673679880652855e-05,0.09601370699466982,11.84000015258789,17.7255,11.9178,14.1839,1.49,5.81,1.25,3.54,1.19,2.27
2014-07-25,173.540283203125,-0.004681433168084781,0.09088279207406935,12.6899995803833,17.5475,11.6959,13.9889,1.5,5.85,1.25,3.56,1.2,2.29
2014-07-28,173.6104278564453,0.00040419810332004147,0.09132372482957019,12.5600004196167,15.4214,10.3063,12.2563,1.5,5.12,1.26,3.17,1.19,1.95
2014-07-29,172.86441040039062,-0.004297077458224718,0.08663422225197914,13.279999732971191,17.4918,11.6891,13.957,1.5,5.8,1.25,3.53,1.19,2.27
2014-07-30,172.89073181152344,0.00015226622456210315,0.0867996799424815,13.329999923706055,17.2496,11.505,13.8342,1.5,5.74,1.25,3.42,1.2,2.33
2014-07-31,169.4764404296875,-0.019748261494768937,0.06533727567054615,16.950000762939453,17.6559,12.1304,14.3889,1.46,5.53,1.23,3.27,1.19,2.26
2014-08-01,168.95860290527344,-0.003055513339206062,0.06208212341398145,17.030000686645508,16.5382,11.0953,13.232999999999999,1.49,5.44,1.25,3.31,1.19,2.14
2014-08-04,170.1785888671875,0.007220620559925228,0.06975101543063356,15.119999885559082,15.4567,10.429,12.4112,1.48,5.03,1.25,3.05,1.19,1.98
2014-08-05,168.52853393554688,-0.009696019591091898,0.05937868862742768,16.8700008392334,15.1941,10.443,12.3607,1.45,4.75,1.23,2.83,1.18,1.92
2014-08-06,168.58119201660156,0.0003124579548934303,0.05970969992593389,16.3700008392334,13.6666,9.3617,11.0555,1.46,4.3,1.24,2.61,1.18,1.69
2014-08-07,167.66836547851562,-0.0054147590675242,0.0539716272193167,16.65999984741211,13.0136,8.6943,10.329,1.5,4.32,1.26,2.68,1.19,1.63
2014-08-08,169.60809326171875,0.011568835764977248,0.06616485187556287,15.770000457763672,13.7366,8.8424,10.6841,1.55,4.89,1.29,3.05,1.21,1.84
2014-08-11,170.099609375,0.002897952001163162,0.06925454644162543,14.229999542236328,12.5107,8.0083,9.6264,1.56,4.5,1.3,2.88,1.2,1.62
2014-08-12,169.8626708984375,-0.001392939568956586,0.06776513947460017,14.130000114440918,12.0908,8.0625,9.5518,1.5,4.03,1.27,2.54,1.18,1.49
2014-08-13,171.01243591308594,0.006768791568901422,0.07499261914824262,12.899999618530273,11.9689,8.0985,9.4779,1.48,3.87,1.26,2.49,1.17,1.38
2014-08-14,171.81993103027344,0.00472185027291161,0.08006857334034567,12.420000076293945,11.7159,8.1403,9.3944,1.44,3.58,1.25,2.32,1.15,1.25
2014-08-15,171.78480529785156,-0.00020443339844944397,0.07984777125133924,13.149999618530273,11.6659,8.0637,9.3568,1.45,3.6,1.25,2.31,1.16,1.29
2014-08-18,173.22430419921875,0.008379663724456199,0.08889653244802886,12.319999694824219,11.4731,8.1706,9.3317,1.4,3.3,1.23,2.14,1.14,1.16
2014-08-19,174.1282958984375,0.005218619312097772,0.09457906892113854,12.210000038146973,11.5167,8.2908,9.4112,1.39,3.23,1.22,2.11,1.14,1.12
2014-08-20,174.59349060058594,0.0026715629401194985,0.09750330579669875,11.779999732971191,11.5813,8.2148,9.4265,1.41,3.37,1.23,2.15,1.15,1.21
2014-08-21,175.1025848388672,0.0029158832699318626,0.10070349732476624,11.760000228881836,11.6095,8.391,9.5841,1.38,3.22,1.21,2.03,1.14,1.19
2014-08-22,174.8304443359375,-0.0015541775307321704,0.09899280868122573,11.470000267028809,11.7161,8.0794,9.414,1.45,3.64,1.24,2.3,1.17,1.33
2014-08-25,175.71693420410156,0.005070569210821496,0.10456532777983907,11.699999809265137,12.0805,8.4548,9.7855,1.43,3.63,1.23,2.3,1.16,1.33
2014-08-26,175.8310546875,0.0006494563766170636,0.10528269477535579,11.630000114440918,12.2202,8.5976,9.965,1.42,3.62,1.23,2.26,1.16,1.37
2014-08-27,175.76089477539062,-0.00039901888909255057,0.10484166610235324,11.779999732971191,12.7736,8.7563,10.2824,1.46,4.02,1.24,2.49,1.17,1.53
2014-08-28,175.6642608642578,-0.0005498032497860406,0.10423422056383114,12.050000190734863,12.1184,7.756,9.3424,1.56,4.36,1.3,2.78,1.2,1.59
2014-08-29,176.16461181640625,0.0028483366490528184,0.10737945136340143,12.09000015258789,12.5305,8.2859,9.7945,1.51,4.24,1.28,2.74,1.18,1.51
2014-09-02,176.07681274414062,-0.000498392221686017,0.10682754205838707,12.25,13.6232,9.0367,10.6713,1.51,4.59,1.28,2.95,1.18,1.63
2014-09-03,175.98023986816406,-0.0005484701504501199,0.10622048018987207,12.359999656677246,13.2767,8.6341,10.3187,1.54,4.64,1.29,2.96,1.2,1.68
2014-09-04,175.72572326660156,-0.00144627943315212,0.10462057626084187,12.640000343322754,13.0362,8.4544,10.1283,1.54,4.58,1.29,2.91,1.2,1.67
2014-09-05,176.5156707763672,0.00449534362460513,0.10958622532594364,12.09000015258789,13.9161,9.0466,10.9071,1.54,4.87,1.28,3.01,1.21,1.86
